dataset,cond,metric,method,mean,sd,vs_BTYD_p,n_seeds
Simulated,x>0,nMAE,BTYD,0.5845823521092451,0.0715046005416924,,15
Simulated,x>0,nMAE,PoissonGBM,0.703780160789901,0.06164372333675302,0.0001220703125,15
Simulated,x>0,nMAE,HurdleGBM,0.7049945282626776,0.07698306821117987,0.0001220703125,15
Simulated,x>0,nMAE,QuantileGBM,0.9035249497720582,0.11409414751896284,6.103515625e-05,15
Simulated,x>0,pit_ks,BTYD,0.06062951779349564,0.011233226863795711,,15
Simulated,x>0,pit_ks,PoissonGBM,0.107430430401099,0.024200645363809135,0.0001220703125,15
Simulated,x>0,pit_ks,HurdleGBM,0.08580241937145594,0.019211406058675783,0.00152587890625,15
Simulated,x>0,pit_ks,QuantileGBM,0.10269369566401552,0.041090397451430234,0.00335693359375,15
Ta-Feng,all,CRPS,BTYD,0.9475732170592407,0.013278122488079627,,15
Ta-Feng,all,CRPS,PoissonGBM,0.9215175484297036,0.009175576783437984,6.103515625e-05,15
Ta-Feng,all,CRPS,HurdleGBM,0.9164661506334997,0.01068431458256528,6.103515625e-05,15
Ta-Feng,all,CRPS,QuantileGBM,0.9096521388562765,0.009175308548650205,6.103515625e-05,15
Ta-Feng,all,cov50,BTYD,0.7530867821152529,0.005548507871028385,,15
Ta-Feng,all,cov50,PoissonGBM,0.6713530965658936,0.00965791474582122,0.0006533107814151377,15
Ta-Feng,all,cov50,HurdleGBM,0.7699148811270913,0.009417976749549039,6.103515625e-05,15
Ta-Feng,all,cov50,QuantileGBM,0.7708052049701595,0.014527478017121257,0.0009847668593688057,15
Ta-Feng,all,cov95,BTYD,0.9744545543488896,0.0019202679367722913,,15
Ta-Feng,all,cov95,PoissonGBM,0.9433617062909697,0.0021855462070459767,0.0006516660806139112,15
Ta-Feng,all,cov95,HurdleGBM,0.9559534292143628,0.0031056920314650053,0.0006500242387180628,15
Ta-Feng,all,cov95,QuantileGBM,0.9682907738968788,0.00293223192284372,0.000803313257091444,15
Ta-Feng,all,nMAE,BTYD,0.6918953923691593,0.007429550576290126,,15
Ta-Feng,all,nMAE,PoissonGBM,0.6747661142539607,0.008672487176385702,0.0001220703125,15
Ta-Feng,all,nMAE,HurdleGBM,0.6771438591035523,0.009282095366424957,6.103515625e-05,15
Ta-Feng,all,nMAE,QuantileGBM,0.6703357729228722,0.008374683236628728,6.103515625e-05,15
Ta-Feng,all,pit_ks,BTYD,0.07087272308125767,0.009404743739103945,,15
Ta-Feng,all,pit_ks,PoissonGBM,0.08719121226023904,0.010593592618316902,0.0067138671875,15
Ta-Feng,all,pit_ks,HurdleGBM,0.041189242548019374,0.00853015951153074,0.0001220703125,15
Ta-Feng,all,pit_ks,QuantileGBM,0.031467868184764644,0.008805517327580248,6.103515625e-05,15
