k,rep,model,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred,k_hat,E_lambda_true,E_lambda_pnbd,E_lambda_ggg
1.0,14,GGG,xcal_pos,389,0.030155871221739586,0.8663699213580566,0.7892030848329049,0.987146529562982,2.506426735218509,2.2223650385604112,0.9811636830301463,0.13710480032456,0.13737636890653013,0.12477995102319184
1.5,0,PNBD,all,800,0.028538945120259784,0.2923338017751479,0.88375,0.9925,0.55375,0.27,1.501415576710457,0.061528418357658765,0.04198558744161668,0.05467666638628466
1.5,0,PNBD,xcal_pos,390,0.05315006279883783,0.5360944849036565,0.8102564102564103,0.9923076923076923,1.0717948717948718,0.5538461538461539,1.501415576710457,0.061528418357658765,0.04198558744161668,0.05467666638628466
1.5,0,GGG,all,800,0.046018261670574656,0.2954920303254438,0.875,0.985,0.55375,0.265,1.501415576710457,0.061528418357658765,0.04198558744161668,0.05467666638628466
1.5,0,GGG,xcal_pos,390,0.07409594196330993,0.5449197769685935,0.7923076923076923,0.9794871794871794,1.0717948717948718,0.5435897435897435,1.501415576710457,0.061528418357658765,0.04198558744161668,0.05467666638628466
1.5,1,PNBD,all,800,0.033282355541935815,0.33106388683431953,0.90375,0.9925,1.02125,0.806875,1.5275430404054324,0.08221015897468398,0.0590091967961823,0.0767864066775786
1.5,1,PNBD,xcal_pos,279,0.05554221267950327,0.8789753133549659,0.7885304659498208,0.996415770609319,2.85663082437276,2.313620071684588,1.5275430404054324,0.08221015897468398,0.0590091967961823,0.0767864066775786
1.5,1,GGG,all,800,0.04748112248722133,0.3143731878698225,0.9075,0.9925,1.02125,0.933125,1.5275430404054324,0.08221015897468398,0.0590091967961823,0.0767864066775786
1.5,1,GGG,xcal_pos,279,0.05336022675859098,0.8316846938559097,0.7992831541218638,0.985663082437276,2.85663082437276,2.675627240143369,1.5275430404054324,0.08221015897468398,0.0590091967961823,0.0767864066775786
1.5,2,PNBD,all,800,0.04544587448085907,0.16272599852071007,0.955,0.99,0.44875,0.3675,1.5024199367038094,0.1792926653810687,0.15460918589146394,0.1840146853752332
1.5,2,PNBD,xcal_pos,331,0.058604649048804025,0.37248435796135076,0.9093655589123867,0.9909365558912386,1.0634441087613293,0.8882175226586103,1.5024199367038094,0.1792926653810687,0.15460918589146394,0.1840146853752332
1.5,2,GGG,all,800,0.042575832821243054,0.1687483542899408,0.9525,0.985,0.44875,0.365625,1.5024199367038094,0.1792926653810687,0.15460918589146394,0.1840146853752332
1.5,2,GGG,xcal_pos,331,0.05895663129469003,0.38677237705357614,0.9033232628398792,0.9818731117824774,1.0634441087613293,0.8836858006042296,1.5024199367038094,0.1792926653810687,0.15460918589146394,0.1840146853752332
1.5,3,PNBD,all,800,0.02752891434612803,0.7780729289940829,0.84625,0.995,2.7525,2.619375,1.541105324055002,0.234505901775115,0.23147296985826576,0.2513685799316241
1.5,3,PNBD,xcal_pos,473,0.047511109860353215,1.2893746012484832,0.7674418604651163,0.9915433403805497,4.627906976744186,4.430232558139535,1.541105324055002,0.234505901775115,0.23147296985826576,0.2513685799316241
1.5,3,GGG,all,800,0.017325646256268423,0.8104809356508876,0.845,0.985,2.7525,2.599375,1.541105324055002,0.234505901775115,0.23147296985826576,0.2513685799316241
1.5,3,GGG,xcal_pos,473,0.0430564611036347,1.3440704554836935,0.7653276955602537,0.9788583509513742,4.627906976744186,4.396405919661734,1.541105324055002,0.234505901775115,0.23147296985826576,0.2513685799316241
1.5,4,PNBD,all,800,0.02181922576259443,0.5882890902366864,0.855,0.9925,1.75375,1.694375,1.5138584259803636,0.16693304850571805,0.1392109575095614,0.15960169483190367
1.5,4,PNBD,xcal_pos,424,0.0421805196051549,1.0513913349893937,0.7712264150943396,0.9976415094339622,3.2476415094339623,3.196933962264151,1.5138584259803636,0.16693304850571805,0.1392109575095614,0.15960169483190367
1.5,4,GGG,all,800,0.02074388331103938,0.5760101146449704,0.855,0.985,1.75375,1.74875,1.5138584259803636,0.16693304850571805,0.1392109575095614,0.15960169483190367
1.5,4,GGG,xcal_pos,424,0.031783067053375275,1.0272657209445126,0.7712264150943396,0.9882075471698113,3.2476415094339623,3.2995283018867925,1.5138584259803636,0.16693304850571805,0.1392109575095614,0.15960169483190367
1.5,5,PNBD,all,800,0.026988401858127148,0.5992674186390532,0.89,0.99125,1.97375,2.04,1.465717175235388,0.24001584498302359,0.233629612814499,0.2576062467859899
1.5,5,PNBD,xcal_pos,448,0.03503237362358402,1.0442291842772613,0.8258928571428571,0.9933035714285714,3.497767857142857,3.642857142857143,1.465717175235388,0.24001584498302359,0.233629612814499,0.2576062467859899
1.5,5,GGG,all,800,0.021817378124278225,0.58337612795858,0.88375,0.9875,1.97375,2.068125,1.465717175235388,0.24001584498302359,0.233629612814499,0.2576062467859899
