dataset,N,seed,method,cond,metric,value
Simulated,1500,9,QuantileGBM,all,cov50,0.9022222222222223
Simulated,1500,9,QuantileGBM,all,nMAE,0.9007092198581561
Simulated,1500,9,QuantileGBM,x>0,CRPS,0.9154457728215767
Simulated,1500,9,QuantileGBM,x>0,pit_ks,0.13264482495530433
Simulated,1500,9,QuantileGBM,x>0,cov95,0.941908713692946
Simulated,1500,9,QuantileGBM,x>0,cov50,0.8340248962655602
Simulated,1500,9,QuantileGBM,x>0,nMAE,0.8987951807228916
Simulated,1500,10,BTYD,all,CRPS,0.37280494791666663
Simulated,1500,10,BTYD,all,pit_ks,0.02428460350567596
Simulated,1500,10,BTYD,all,cov95,0.9866666666666667
Simulated,1500,10,BTYD,all,cov50,0.9133333333333333
Simulated,1500,10,BTYD,all,nMAE,0.5270880361173814
Simulated,1500,10,BTYD,x>0,CRPS,0.6759358587184874
Simulated,1500,10,BTYD,x>0,pit_ks,0.05859673365956247
Simulated,1500,10,BTYD,x>0,cov95,0.9831932773109243
Simulated,1500,10,BTYD,x>0,cov50,0.8529411764705882
Simulated,1500,10,BTYD,x>0,nMAE,0.5194954128440367
Simulated,1500,10,PoissonGBM,all,CRPS,0.5153008472222222
Simulated,1500,10,PoissonGBM,all,pit_ks,0.046090801000000736
Simulated,1500,10,PoissonGBM,all,cov95,0.94
Simulated,1500,10,PoissonGBM,all,cov50,0.8622222222222222
