dataset,seed,method,cond,metric,value
Ta-Feng,0,ZILN,all,cov95,0.9806281185793954
Ta-Feng,0,ZILN,all,nMAE,1.070544703880184
Ta-Feng,0,ZILN,x>0,CRPS,115501.27123009841
Ta-Feng,0,ZILN,x>0,pit_ks,0.026542599592904947
Ta-Feng,0,ZILN,x>0,cov95,0.9796452457109625
Ta-Feng,0,ZILN,x>0,nMAE,1.0717808178928645
Ta-Feng,1,BTYD+GG,all,CRPS,6990.4597289127105
Ta-Feng,1,BTYD+GG,all,pit_ks,0.07387877898444373
Ta-Feng,1,BTYD+GG,all,cov95,0.9421778690930437
Ta-Feng,1,BTYD+GG,all,nMAE,1.9628836533189815
Ta-Feng,1,BTYD+GG,x>0,CRPS,11709.273952106474
Ta-Feng,1,BTYD+GG,x>0,pit_ks,0.08406096503900606
Ta-Feng,1,BTYD+GG,x>0,cov95,0.9263218722912453
Ta-Feng,1,BTYD+GG,x>0,nMAE,2.279876269257664
Ta-Feng,1,ZILN,all,CRPS,6075.161734710784
Ta-Feng,1,ZILN,all,pit_ks,0.015594364543586647
Ta-Feng,1,ZILN,all,cov95,0.9812151452891107
Ta-Feng,1,ZILN,all,nMAE,1.736671331558628
Ta-Feng,1,ZILN,x>0,CRPS,9941.258501052189
Ta-Feng,1,ZILN,x>0,pit_ks,0.018922276798613136
Ta-Feng,1,ZILN,x>0,cov95,0.9809303669459694
Ta-Feng,1,ZILN,x>0,nMAE,1.980329412382746
Ta-Feng,2,BTYD+GG,all,CRPS,58146.76887616387
Ta-Feng,2,BTYD+GG,all,pit_ks,0.08545201056648077
Ta-Feng,2,BTYD+GG,all,cov95,0.9432051658350455
Ta-Feng,2,BTYD+GG,all,nMAE,1.0525983581884
Ta-Feng,2,BTYD+GG,x>0,CRPS,115194.97458803587
Ta-Feng,2,BTYD+GG,x>0,pit_ks,0.09280785246876855
Ta-Feng,2,BTYD+GG,x>0,cov95,0.929506246281975
Ta-Feng,2,BTYD+GG,x>0,nMAE,1.053848173525711
Ta-Feng,2,ZILN,all,CRPS,56237.47411079848
Ta-Feng,2,ZILN,all,pit_ks,0.020226005283240367
Ta-Feng,2,ZILN,all,cov95,0.9820956853536836
Ta-Feng,2,ZILN,all,nMAE,1.0051560523426395
Ta-Feng,2,ZILN,x>0,CRPS,111369.30368577811
Ta-Feng,2,ZILN,x>0,pit_ks,0.028252528256989873
Ta-Feng,2,ZILN,x>0,cov95,0.9857227840571089
Ta-Feng,2,ZILN,x>0,nMAE,1.00529319444862
Ta-Feng,3,BTYD+GG,all,CRPS,6905.340995214707
Ta-Feng,3,BTYD+GG,all,pit_ks,0.08551364837100084
Ta-Feng,3,BTYD+GG,all,cov95,0.9418843557381861
