k,rep,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred
4.0,3,xcal_pos,392,0.07387825627271571,0.5479297124123087,0.8571428571428571,0.9974489795918368,1.3903061224489797,1.038265306122449
4.0,4,all,800,0.05263682127664904,0.24303328857421874,0.95125,0.99,0.67625,0.651875
4.0,4,xcal_pos,326,0.037485174905662166,0.5721093749999999,0.9049079754601227,1.0,1.6349693251533743,1.5996932515337423
4.0,5,all,800,0.03799250640744212,0.5362062133789063,0.91875,0.99875,2.37625,2.31625
4.0,5,xcal_pos,473,0.07713250282477313,0.8818661221590909,0.8858350951374208,1.0,3.9936575052854124,3.9175475687103596
4.0,6,all,800,0.02283147416468634,0.23878690185546872,0.94,0.99375,0.83375,0.6925
4.0,6,xcal_pos,305,0.06821977566414555,0.6000337794569672,0.8688524590163934,1.0,2.160655737704918,1.8163934426229509
4.0,7,all,800,0.040101831686691125,0.10720742187500001,0.96625,0.9925,0.25625,0.20125
4.0,7,xcal_pos,227,0.06606699534997584,0.35591267724394265,0.9030837004405287,0.9955947136563876,0.8810572687224669,0.7092511013215859
4.0,8,all,800,0.04128866266017428,0.2824531005859375,0.9275,0.9975,0.78,0.66625
4.0,8,xcal_pos,319,0.06730444903172539,0.6705895192496081,0.8526645768025078,1.0,1.9184952978056427,1.670846394984326
4.0,9,all,800,0.06610575505970717,0.42355632324218745,0.90375,1.0,1.20625,1.03375
4.0,9,xcal_pos,458,0.09458006403223296,0.7091135030021835,0.8624454148471615,1.0,2.076419213973799,1.8056768558951966
4.0,10,all,800,0.037944686874902045,0.28953187255859375,0.89125,0.9975,0.76,0.51125
4.0,10,xcal_pos,353,0.08710791052450834,0.6000662568608357,0.8045325779036827,1.0,1.6657223796033995,1.158640226628895
4.0,11,all,800,0.02505728867063617,0.241734130859375,0.92625,0.9975,0.59875,0.524375
4.0,11,xcal_pos,234,0.08629615367312182,0.7124522986778847,0.8632478632478633,0.9957264957264957,1.9273504273504274,1.7927350427350428
4.0,12,all,800,0.02619257448672585,0.2419693115234375,0.9475,0.99375,0.5775,0.50125
4.0,12,xcal_pos,367,0.04546413765706159,0.5166149736035422,0.896457765667575,0.997275204359673,1.2479564032697548,1.0926430517711172
4.0,13,all,800,0.041812883316888816,0.38264194335937496,0.8925,0.9975,1.105,0.93
4.0,13,xcal_pos,435,0.060893620142260185,0.6605531833692528,0.8413793103448276,1.0,1.9885057471264367,1.710344827586207
4.0,14,all,800,0.022087598724831237,0.25909160156249994,0.94375,0.98375,0.7575,0.6875
